word	comparative	superlative
catty	cattier	cattiest
central		centralmost
certain	certainer	certainest
chaffy	chaffier	chaffiest
chalky	chalkier	chalkiest
chancy	chancier	chanciest
charry	charrier	charriest
chary	charier	chariest
chaste	chaster	chastest
chatty	chattier	chattiest
chavvie	chavvier	chavviest
chavvy	chavvier	chavviest
cheap	cheaper	cheapest
cheaty	cheatier	cheatiest
cheeky	cheekier	cheekiest
cheepy	cheepier	cheepiest
cheerful	cheerfuler	cheerfulest
cheery	cheerier	cheeriest
cheesy	cheesier	cheesiest
cheffy	cheffier	cheffiest
cherry	cherrier	cherriest
cherty	chertier	chertiest
chesty	chestier	chestiest
cheugy	cheugier	cheugiest
chewy	chewier	chewiest
chic	chicer	chicest
chickeny	chickenier	chickeniest
chief	chiefer	chiefest
chiefly	chieflier	chiefliest
childly	childlier	childliest
chilly	chillier	chilliest
chinchy	chinchier	chinchiest
chinky	chinkier	chinkiest
chinny	chinnier	chinniest
chintzy	chintzier	chintziest
chipper	chipperer	chipperest
chippy	chippier	chippiest
chirk	chirker	chirkest
chirky	chirkier	chirkiest
chirpy	chirpier	chirpiest
chocolatey	chocolatier	chocolatiest
chocolaty	chocolatier	chocolatiest
choice	choicer	choicest
choiceworthy	choiceworthier	choiceworthiest
choicy	choicier	choiciest
choise	choiser	choisest
choky	chokier	chokiest
chonky	chonkier	chonkiest
choong	choonger	choongest
choosy	choosier	choosiest
choppy	choppier	choppiest
choyse	choyser	choysest
chromy	chromier	chromiest
chubby	chubbier	chubbiest
chuddy	chuddier	chuddiest
chuffy	chuffier	chuffiest
chummy	chummier	chummiest
chumpy	chumpier	chumpiest
chunky	chunkier	chunkiest
churchly	churchlier	churchliest
churchy	churchier	churchiest
churny	churnier	churniest
cinnamony	cinnamonier	cinnamoniest
civil	civiler	civilest
claggy	claggier	claggiest
clammy	clammier	clammiest
clangy	clangier	clangiest
clanky	clankier	clankiest
clashy	clashier	clashiest
classy	classier	classiest
clatty	clattier	clattiest
clawy	clawier	clawiest
clayey	clayier	clayiest
clean	cleaner	cleanest
cleanly	cleanlier	cleanliest
clear	clearer	clearest
clearheaded	clearerhearted	clearesthearted
cleer	cleerer	cleerest
clerkly	clerklier	clerkliest
clever	cleverer	cleverest
clickbaity	clickbaitier	clickbaitiest
clicky	clickier	clickiest
cliffy	cliffier	cliffiest
climby	climbier	climbiest
clingy	clingier	clingiest
clinky	clinkier	clinkiest
cliquey	cliquier	cliquiest
cliquy	cliquier	cliquiest
clocky	clockier	clockiest
cloddy	cloddier	cloddiest
cloggy	cloggier	cloggiest
close	closer	closest
cloudy	cloudier	cloudiest
clowdy	clowdier	clowdiest
clowny	clownier	clowniest
clubby	clubbier	clubbiest
clucky	cluckier	cluckiest
clumpy	clumpier	clumpiest
clumsy	clumsier	clumsiest
clunky	clunkier	clunkiest
coachy	coachier	coachiest
coaly	coalier	coaliest
coarse	coarser	coarsest
cobby	cobbier	cobbiest
cobwebby	cobwebbier	cobwebbiest
cockey	cockier	cockiest
cocky	cockier	cockiest
coconutty	coconuttier	coconuttiest
codgy	codgier	codgiest
coily	coilier	coiliest
cold	colder	coldest
comely	comelier	comeliest
comfortable	comfortabler	comfortablest
comfy	comfier	comfiest
comly	comlier	comliest
common	commoner	commonest
compact	compacter	compactest
complete	completer	completest
concrete	concreter	concretest
content	contenter	contentest
cool	cooler	coolest
cooool	cooooler	coooolest
cooty	cootier	cootiest
corky	corkier	corkiest
corny	cornier	corniest
cosie	cosier	cosiest
costly	costlier	costliest
cosy	cosier	cosiest
couchy	couchier	couchiest
coughy	coughier	coughiest
country	countrier	countriest
courtly	courtlier	courtliest
couthie	couthier	couthiest
cowardly	cowardlier	cowardliest
cowy	cowier	cowiest
coy	coyer	coyest
cozie	cozier	coziest
cozy	cozier	coziest
crabby	crabbier	crabbiest
crackly	cracklier	crackliest
crackpotty	crackpottier	crackpottiest
cracky	crackier	crackiest
crafty	craftier	craftiest
craggy	craggier	craggiest
crampy	crampier	crampiest
crank	cranker	crankest
cranky	crankier	crankiest
crap	crapper	crappest
crapey	crapier	crapiest
crappy	crappier	crappiest
crapy	crapier	crapiest
crashy	crashier	crashiest
crass	crasser	crassest
crawly	crawlier	crawliest
crazy	crazier	craziest
creaky	creakier	creakiest
creamy	creamier	creamiest
creasy	creasier	creasiest
creeky	creekier	creekiest
creepy	creepier	creepiest
crepy	crepier	crepiest
crimpy	crimpier	crimpiest
cringeworthy	cringeworthier	cringeworthiest
cringey	cringier	cringiest
cringy	cringier	cringiest
crinkly	crinklier	crinkliest
crisp	crisper	crispest
crispy	crispier	crispiest
croaky	croakier	croakiest
crook	crooker	crookest
crool	crooler	croolest
cross	crosser	crossest
crotchety	crotchetier	crotchetiest
crouchy	crouchier	crouchiest
croupy	croupier	croupiest
cruddy	cruddier	cruddiest
crude	cruder	crudest
cruel	crueler	cruelest
crufty	cruftier	cruftiest
cruisy	cruisier	cruisiest
crumbly	crumblier	crumbliest
crumby	crumbier	crumbiest
crummy	crummier	crummiest
crumply	crumplier	crumpliest
crunchy	crunchier	crunchiest
crunk	crunker	crunkest
crusty	crustier	crustiest
crêpey	crêpier	crêpiest
crêpy	crêpier	crêpiest
cuddly	cuddlier	cuddliest
cunty	cuntier	cuntiest
cuppy	cuppier	cuppiest
curdy	curdier	curdiest
curious	curiouser	curiousest
curly	curlier	curliest
curmudgeonly	curmudgeonlier	curmudgeonliest
current	currenter	currentest
cursed	curseder	cursedest
curseworthy	curseworthier	curseworthiest
curst	curster	curstest
curt	curter	curtest
curvy	curvier	curviest
cushy	cushier	cushiest
cuspy	cuspier	cuspiest
custardy	custardier	custardiest
cute	cuter	cutest
cutes	cuteser	cutesest
cutesie	cutesier	cutesiest
cutesy	cutesier	cutesiest
cuuute	cuuuter	cuuutest
daddy	daddier	daddiest
dadgum		dadgummest
dadly	dadlier	dadliest
daffy	daffier	daffiest
daft	dafter	daftest
daggone		daggonest
daggy	daggier	daggiest
dahk	dahker	dahkest
dainty	daintier	daintiest
damned	damneder	damnedest
damp	damper	dampest
dancy	dancier	danciest
dandy	dandier	dandiest
dangly	danglier	dangliest
dank	danker	dankest
dapper	dapperer	dapperest
dappy	dappier	dappiest
dardy	dardier	dardiest
dark	darker	darkest
darkly	darklier	darkliest
darned		darnedest
darty	dartier	dartiest
dashy	dashier	dashiest
dastardly	dastardlier	dastardliest
dead	deader	deadest
deadly	deadlier	deadliest
deaf	deafer	deafest
dear	dearer	dearest
deare	dearer	dearest
dearthy	dearthier	dearthiest
deathly	deathlier	deathliest
debby	debbier	debbiest
deedy	deedier	deediest
deep	deeper	deepest
deere	deerer	deerest
def	deffer	deffest
deft	defter	deftest
delicate	delicater	delicatest
delightful	delightfuler	delightfulest
deluxe	deluxer	deluxest
demure	demurer	demurest
dense	denser	densest
derpy	derpier	derpiest
devout	devouter	devoutest
dewy	dewier	dewiest
dicey	dicier	diciest
dickey	dickier	dickiest
dicky	dickier	dickiest
dicty	dictier	dictiest
diddy	diddier	diddiest
dilly	dillier	dilliest
dim	dimmer	dimmest
dimply	dimplier	dimpliest
dingy	dingier	dingiest
dinky	dinkier	dinkiest
dippy	dippier	dippiest
dire	direr	direst
dirty	dirtier	dirtiest
discreet	discreeter	discreetest
discrete	discreter	discretest
disgusting	disgustinger	disgustingest
dishy	dishier	dishiest
distinct	distincter	distinctest
ditsy	ditsier	ditsiest
ditzy	ditzier	ditziest
dizzy	dizzier	dizziest
doddery	dodderier	dodderiest
dodgy	dodgier	dodgiest
doggoned		doggonedest
doggy	doggier	doggiest
doleful	dolefuller	dolefullest
doofy	doofier	doofiest
doomy	doomier	doomiest
doozy	doozier	dooziest
dope	doper	dopest
dopey	dopier	dopiest
dopy	dopier	dopiest
dorky	dorkier	dorkiest
dotty	dottier	dottiest
doty	dotier	dotiest
douce	doucer	doucest
douchey	douchier	douchiest
douchy	douchier	douchiest
doughty	doughtier	doughtiest
doughy	doughier	doughiest
dour	dourer	dourest
dowdy	dowdier	dowdiest
downy	downier	downiest
dozy	dozier	doziest
drab	drabber	drabbest
drabby	drabbier	drabbiest
drafty	draftier	draftiest
draggy	draggier	draggiest
drapey	drapier	drapiest
draughty	draughtier	draughtiest
drawly	drawlier	drawliest
dread	dreader	dreadest
dready	dreadier	dreadiest
dreamy	dreamier	dreamiest
drear	drearer	drearest
dreary	drearier	dreariest
drecky	dreckier	dreckiest
dree	dreer	dreest
dreggy	dreggier	dreggiest
dreich	dreicher	dreichest
dreigh	dreigher	dreighest
drekky	drekkier	drekkiest
dressy	dressier	dressiest
dribbly	dribblier	dribbliest
drifty	driftier	driftiest
drinkworthy	drinkworthier	drinkworthiest
drippy	drippier	drippiest
drizzly	drizzlier	drizzliest
drole	droler	drolest
droll	droller	drollest
drony	dronier	droniest
drooly	droolier	drooliest
droopy	droopier	droopiest
drossy	drossier	drossiest
droughty	droughtier	droughtiest
drouthy	drouthier	drouthiest
drowsy	drowsier	drowsiest
drudgey	drudgier	drudgiest
drudgy	drudgier	drudgiest
druggy	druggier	druggiest
drunk	drunker	drunkest
dry	drier	driest
ducky	duckier	duckiest
dud		duddest
dudey	dudier	dudiest
duff	duffer	duffest
dull	duller	dullest
dumb	dumber	dumbest
dumbass	dumberass	dumbestass
dumpty	dumptier	dumptiest
dumpy	dumpier	dumpiest
dungy	dungier	dungiest
dunny	dunnier	dunniest
dusk	dusker	duskest
dusky	duskier	duskiest
dusty	dustier	dustiest
dutty	duttier	duttiest
dwarf	dwarfer	dwarfest
dweeby	dweebier	dweebiest
dykey	dykier	dykiest
dyky	dykier	dykiest
eager	eagerer	eagerest
early	earlier	earliest
earnest	earnester	earnestest
earthly	earthlier	earthliest
earthy	earthier	earthiest
eastern		easternmost
easy	easier	easiest
easygoing	easygoinger	easygoingest
eazy	eazier	eaziest
ebb	ebber	ebbest
ebbe	ebber	ebbest
echoey	echoier	echoiest
edgelordy	edgelordier	edgelordiest
edgy	edgier	edgiest
eeby	eebier	eebiest
eely	eelier	eeliest
eepy	eepier	eepiest
eerie	eerier	eeriest
eery	eerier	eeriest
eggy	eggier	eggiest
elite	eliter	elitest
empty	emptier	emptiest
erky	erkier	erkiest
even	evener	evenest
evil	eviller	evillest
exact	exacter	exactest
exploity	exploitier	exploitiest
extreme	extremer	extremest
fab	fabber	fabbest
fabby	fabbier	fabbiest
fabe	faber	fabest
faddy	faddier	faddiest
faffy	faffier	faffiest
faggoty	faggotier	faggotiest
faggy	faggier	faggiest
faint	fainter	faintest
fair	fairer	fairest
faithfull	faithfuller	faithfullest
faithy	faithier	faithiest
fake	faker	fakest
faky	fakier	fakiest
fallen		fallenest
false	falser	falsest
fameworthy	fameworthier	fameworthiest
fancy	fancier	fanciest
fappy	fappier	fappiest
far	farther	farthest
farmy	farmier	farmiest
farty	fartier	fartiest
fashy	fashier	fashiest
fast	faster	fastest
fat	fatter	fattest
fatty	fattier	fattiest
faulty	faultier	faultiest
favourite		favouritemost
feasty	feastier	feastiest
feathery	featherier	featheriest
fecky	feckier	feckiest
feeble	feebler	feeblest
feely	feelier	feeliest
feisty	feistier	feistiest
fell	feller	fellest
female	femaler	femalest
fendy	fendier	fendiest
ferny	fernier	ferniest
fervid	fervider	fervidest
fetchy	fetchier	fetchiest
fey	feyer	feyest
fickle	fickler	ficklest
fiddly	fiddlier	fiddliest
fidgety	fidgetier	fidgetiest
fiendy	fiendier	fiendiest
fierce	fiercer	fiercest
fiery	fierier	fieriest
fiesty	fiestier	fiestiest
figgy	figgier	figgiest
fighty	fightier	fightiest
fiine	fiiner	fiinest
filmy	filmier	filmiest
filthy	filthier	filthiest
fine	finer	finest
finicky	finickier	finickiest
finnicky	finnickier	finnickiest
finny	finnier	finniest
firm	firmer	firmest
first		firstmost
fishy	fishier	fishiest
fit	fitter	fittest
fizzy	fizzier	fizziest
flabby	flabbier	flabbiest
flaggy	flaggier	flaggiest
flakey	flakier	flakiest
flaky	flakier	flakiest
flamy	flamier	flamiest
flappy	flappier	flappiest
flashy	flashier	flashiest
flat	flatter	flattest
flaunty	flauntier	flauntiest
fleecy	fleecier	fleeciest
fleek	fleeker	fleekest
fleeky	fleekier	fleekiest
fleet	fleeter	fleetest
fleshly	fleshlier	fleshliest
fleshy	fleshier	fleshiest
flexy	flexier	flexiest
flicky	flickier	flickiest
flighty	flightier	flightiest
flimsy	flimsier	flimsiest
flingy	flingier	flingiest
flinty	flintier	flintiest
flip	flipper	flippest
flippy	flippier	flippiest
flirty	flirtier	flirtiest
flitty	flittier	flittiest
floaty	floatier	floatiest
flobby	flobbier	flobbiest
floody	floodier	floodiest
floofy	floofier	floofiest
floppy	floppier	floppiest
flossy	flossier	flossiest
flouncy	flouncier	flounciest
floury	flourier	flouriest
flowery	flowerier	floweriest
flowy	flowier	flowiest
fluey	fluier	fluiest
fluffy	fluffier	fluffiest
flufy	flufier	flufiest
fluky	flukier	flukiest
flush	flusher	flushest
flushy	flushier	flushiest
fluttery	flutterier	flutteriest
fluty	flutier	flutiest
fly	flier	fliest
foamy	foamier	foamiest
foggy	foggier	foggiest
foine	foiner	foinest
folkie	folkier	folkiest
folksy	folksier	folksiest
folky	folkier	folkiest
fond	fonder	fondest
foody	foodier	foodiest
foofy	foofier	foofiest
fool	fooler	foolest
foolhardy	foolhardier	foolhardiest
fore		foremost
forky	forkier	forkiest
forlorn	forlorner	forlornest
forward	forwarder	forwardmost
foul	fouler	foulest
foxy	foxier	foxiest
fragile	fragiler	fragilest
fraidy	fraidier	fraidiest
frail	frailer	frailest
frank	franker	frankest
frass	frasser	frassest
fratchy	fratchier	fratchiest
fratty	frattier	frattiest
freaky	freakier	freakiest
freash	freasher	freashest
freckly	frecklier	freckliest
free	freer	freest
freely	freelier	freeliest
freezy	freezier	freeziest
frequent	frequenter	frequentest
fresh	fresher	freshest
friendly	friendlier	friendliest
frigid	frigider	frigidest
frilly	frillier	frilliest
fringe	fringer	fringest
fringey	fringier	fringiest
fringy	fringier	fringiest
frisky	friskier	friskiest
frizzly	frizzlier	frizzliest
frizzy	frizzier	frizziest
froggy	froggier	froggiest
frosty	frostier	frostiest
frothy	frothier	frothiest
frousy	frousier	frousiest
frowny	frownier	frowniest
frowsty	frowstier	frowstiest
frowsy	frowsier	frowsiest
frowzy	frowzier	frowziest
fruity	fruitier	fruitiest
frum	frummer	frummest
frumpy	frumpier	frumpiest
fubsy	fubsier	fubsiest
fucky	fuckier	fuckiest
fudgey	fudgier	fudgiest
fudgy	fudgier	fudgiest
fuggy	fuggier	fuggiest
fugly	fuglier	fugliest
full	fuller	fullest
fulsome	fulsomer	fulsomest
fumbly	fumblier	fumbliest
fumy	fumier	fumiest
funky	funkier	funkiest
funni	funnier	funniest
funny	funnier	funniest
furry	furrier	furriest
fussy	fussier	fussiest
fusty	fustier	fustiest
fuzzy	fuzzier	fuzziest
gabby	gabbier	gabbiest
gaggy	gaggier	gaggiest
gainly	gainlier	gainliest
game	gamer	gamest
gamely	gamelier	gameliest
gamey	gamier	gamiest
gammie	gammier	gammiest
gammy	gammier	gammiest
gangly	ganglier	gangliest
gapey	gapier	gapiest
gappy	gappier	gappiest
garbagey	garbagier	garbagiest
garbagy	garbagier	garbagiest
garlicky	garlickier	garlickiest
gas	gasser	gassest
gaspy	gaspier	gaspiest
gassy	gassier	gassiest
gauche	gaucher	gauchest
gaudy	gaudier	gaudiest
gaunt	gaunter	gauntest
gauzy	gauzier	gauziest
gawdy	gawdier	gawdiest
gawky	gawkier	gawkiest
gay	gayer	gayest
geeky	geekier	geekiest
gemmy	gemmier	gemmiest
gemütlich	gemütlicher	gemütlichest
gentle	gentler	gentlest
gentlemanly	gentlemanlier	gentlemanliest
germy	germier	germiest
gey	geyer	geyest
ghastly	ghastlier	ghastliest
ghey	gheyer	gheyest
ghostly	ghostlier	ghostliest
ghosty	ghostier	ghostiest
giddie	giddier	giddiest
giddy	giddier	giddiest
giggly	gigglier	giggliest
gimmicky	gimmickier	gimmickiest
gimpy	gimpier	gimpiest
ginchy	ginchier	ginchiest
girlie	girlier	girliest
girly	girlier	girliest
girthy	girthier	girthiest
glad	gladder	gladdest
gladsome	gladsomer	gladsomest
glam	glammer	glammest
glary	glarier	glariest
glassy	glassier	glassiest
glazy	glazier	glaziest
gleamy	gleamier	gleamiest
gleg	glegger	gleggest
glib	glibber	glibbest
glimmery	glimmerier	glimmeriest
glinty	glintier	glintiest
glissy	glissier	glissiest
glitchy	glitchier	glitchiest
glittery	glitterier	glitteriest
glitzy	glitzier	glitziest
globby	globbier	globbiest
gloomy	gloomier	gloomiest
gloopy	gloopier	gloopiest
gloppy	gloppier	gloppiest
glorious	gloriouser	gloriousest
glossy	glossier	glossiest
glowy	glowier	glowiest
gluey	gluier	gluiest
gluggy	gluggier	gluggiest
glum	glummer	glummest
glurgy	glurgier	glurgiest
gnarly	gnarlier	gnarliest
gnashy	gnashier	gnashiest
gnatty	gnattier	gnattiest
goaty	goatier	goatiest
gobby	gobbier	gobbiest
godly	godlier	godliest
gold	golder	goldest
golden	goldener	goldenest
goldy	goldier	goldiest
golfy	golfier	golfiest
gone	goner	gonest
good	better	best
goodly	goodlier	goodliest
goody	goodier	goodiest
gooey	gooeyer	gooeyest
goofy	goofier	goofiest
googly	googlier	googliest
gooky	gookier	gookiest
goony	goonier	gooniest
goopy	goopier	goopiest
goosy	goosier	goosiest
gorky	gorkier	gorkiest
gorsy	gorsier	gorsiest
gory	gorier	goriest
gossipy	gossipier	gossipiest
goth	gother	gothest
gothy	gothier	gothiest
gouty	goutier	goutiest
grabby	grabbier	grabbiest
gradely	gradelier	gradeliest
grainy	grainier	grainiest
grand	grander	grandest
grapey	grapier	grapiest
grapy	grapier	grapiest
grassy	grassier	grassiest
grateful	gratefuller	gratefullest
graund	graunder	graundest
grave	graver	gravest
gray	grayer	grayest
grayey	grayier	grayiest
greasey	greasier	greasiest
greasy	greasier	greasiest
great	greater	greatest
greedy	greedier	greediest
green	greener	greenest
greene	greener	greenest
greeny	greenier	greeniest
grey	greyer	greyest
greyey	greyier	greyiest
grim	grimmer	grimmest
grimy	grimier	grimiest
grindy	grindier	grindiest
grippy	grippier	grippiest
grislie	grislier	grisliest
grisly	grislier	grisliest
gristly	gristlier	gristliest
gritty	grittier	grittiest
grizzly	grizzlier	grizzliest
grode	groder	grodest
grody	grodier	grodiest
groggy	groggier	groggiest
groomy	groomier	groomiest
groovy	groovier	grooviest
gross	grosser	grossest
grotesque	grotesquer	grotesquest
grotty	grottier	grottiest
grouchy	grouchier	grouchiest
groundy	groundier	groundiest
grouse	grouser	grousest
grouty	groutier	groutiest
growly	growlier	growliest
growthy	growthier	growthiest
grubby	grubbier	grubbiest
grudgy	grudgier	grudgiest
gruesome	gruesomer	gruesomest
gruff	gruffer	gruffest
gruffy	gruffier	gruffiest
grufty	gruftier	gruftiest
grum	grummer	grummest
grumbly	grumblier	grumbliest
grumly	grumlier	grumliest
grumpy	grumpier	grumpiest
grundy	grundier	grundiest
grungy	grungier	grungiest
grunty	gruntier	gruntiest
gucky	guckier	guckiest
guilty	guiltier	guiltiest
gummy	gummier	gummiest
gungy	gungier	gungiest
gunky	gunkier	gunkiest
gunny	gunnier	gunniest
